Comment,label,databersih,Tokenized,Remove stopwords,stemming,label_angka
"saya jadi patih sendiri,, la klo mas  kaesang maju karena ada yang mengangkat dorong masak harus sembunyi,, ingat sejarah hayam wuruk aja di angakat jadi raja usia 17 tahun, sehingga menuju kejayaannya kerajaan majapahit mempersatukan nusantara",bukan ujaran kebencian,aku jadi patih sendiri lah kalau kakak kaesang maju karena ada yang mengangkat dorong masak harus sembunyi ingat sejarah hayam wuruk saja di angakat jadi raja usia tahun sehingga menuju kejayaannya kerajaan majapahit mempersatukan nusantara,"['aku', 'jadi', 'patih', 'sendiri', 'lah', 'kalau', 'kakak', 'kaesang', 'maju', 'karena', 'ada', 'yang', 'mengangkat', 'dorong', 'masak', 'harus', 'sembunyi', 'ingat', 'sejarah', 'hayam', 'wuruk', 'saja', 'di', 'angakat', 'jadi', 'raja', 'usia', 'tahun', 'sehingga', 'menuju', 'kejayaannya', 'kerajaan', 'majapahit', 'mempersatukan', 'nusantara']",patih kakak kaesang maju mengangkat dorong masak sembunyi sejarah hayam wuruk angakat raja usia kejayaannya kerajaan majapahit mempersatukan nusantara,patih kakak kaesang maju angkat dorong masak sembunyi sejarah hayam wuruk angakat raja usia jaya raja majapahit satu nusantara,1
seandainyaaaaaaaa suamiku se per ti inii pemikiranya🥲,bukan ujaran kebencian,seandainya suamiku se per ti ini pemikiranya,"['seandainya', 'suamiku', 'se', 'per', 'ti', 'ini', 'pemikiranya']",seandainya suamiku ti pemikiranya,anda suami ti pemikiranya,1
depok 1 😍,bukan ujaran kebencian,depok,['depok'],depok,depok,1
nulisnya pasti waktu lagi dijalan tol,bukan ujaran kebencian,menulisnya pasti waktu lagi di jalan tol,"['menulisnya', 'pasti', 'waktu', 'lagi', 'di', 'jalan', 'tol']",menulisnya jalan tol,tulis jalan tol,1
salfok yang duduk di belakang 🤣,bukan ujaran kebencian,salah fokus yang duduk di belakang,"['salah', 'fokus', 'yang', 'duduk', 'di', 'belakang']",salah fokus duduk,salah fokus duduk,1
mas@kaesangp gimana caranya dapat istri cantik.,bukan ujaran kebencian,mas bagaimana caranya dapat istri cantik,"['mas', 'bagaimana', 'caranya', 'dapat', 'istri', 'cantik']",mas istri cantik,mas istri cantik,1
samaa... hebat ga mau ikut2an ternyata sama sajaa.....,bukan ujaran kebencian,samaa hebat tidak mau ikut ikutan ternyata sama sajaa,"['samaa', 'hebat', 'tidak', 'mau', 'ikut', 'ikutan', 'ternyata', 'sama', 'sajaa']",samaa hebat ikutan sajaa,samaa hebat ikut sajaa,1
"mas kaesang lama2 mirip mas boby, suaminya mbak ayang😂😂",bukan ujaran kebencian,kakak kaesang lama lama mirip kakak boby suaminya kakak ayang,"['kakak', 'kaesang', 'lama', 'lama', 'mirip', 'kakak', 'boby', 'suaminya', 'kakak', 'ayang']",kakak kaesang kakak boby suaminya kakak ayang,kakak kaesang kakak boby suami kakak ayang,1
kaesang walikota tangerang selatan 2024.,bukan ujaran kebencian,kaesang wali kota tangerang selatan,"['kaesang', 'wali', 'kota', 'tangerang', 'selatan']",kaesang wali kota tangerang selatan,kaesang wali kota tangerang selatan,1
kok g ngelawak?,bukan ujaran kebencian,kok tidak ngelawak,"['kok', 'tidak', 'ngelawak']",ngelawak,ngelawak,1
wajah2 calon presiden...aura pemimpin negara,bukan ujaran kebencian,wajah calon presiden aura pemimpin negara,"['wajah', 'calon', 'presiden', 'aura', 'pemimpin', 'negara']",wajah calon presiden aura pemimpin negara,wajah calon presiden aura pimpin negara,1
amin ya rabbal al-amin 🙂,bukan ujaran kebencian,amin ya rabi al amin,"['amin', 'ya', 'rabi', 'al', 'amin']",amin ya rabi al amin,amin ya rabi al amin,1
berbahagia❤️,bukan ujaran kebencian,berbahagia,['berbahagia'],berbahagia,bahagia,1
bukan cuma istri mas aja..sebenernya saya juga sering ngmong gitu mas klo lagi akur atau abis syalala 😂😂😂,bukan ujaran kebencian,bukan hanya istri kakak aja sebenernya aku juga sering ngmong begitu kakak kalau lagi akur atau habis syalala,"['bukan', 'hanya', 'istri', 'kakak', 'aja', 'sebenernya', 'aku', 'juga', 'sering', 'ngmong', 'begitu', 'kakak', 'kalau', 'lagi', 'akur', 'atau', 'habis', 'syalala']",istri kakak aja sebenernya ngmong kakak akur habis syalala,istri kakak aja sebenernya ngmong kakak akur habis syalala,1
nderek bingah diajeng🙏🏻,bukan ujaran kebencian,nderek bingah diajeng,"['nderek', 'bingah', 'diajeng']",nderek bingah diajeng,nderek bingah diajeng,1
kiyowoooo😍❤️,bukan ujaran kebencian,kiyowo,['kiyowo'],kiyowo,kiyowo,1
"no 1 dpt restu ibu dulu dong. baru istri, anak laki2 adalah milik ibunya..... 👏",bukan ujaran kebencian,no dapat restu ibu dulu dong baru istri anak laki laki adalah milik ibunya,"['no', 'dapat', 'restu', 'ibu', 'dulu', 'dong', 'baru', 'istri', 'anak', 'laki', 'laki', 'adalah', 'milik', 'ibunya']",no restu istri anak laki laki milik ibunya,no restu istri anak laki laki milik ibu,1
kaesang untuk depok 👏👏❤️❤️🔥🔥,bukan ujaran kebencian,kaesang untuk depok,"['kaesang', 'untuk', 'depok']",kaesang depok,kaesang depok,1
sweet bangettt siihhhh 😢,bukan ujaran kebencian,sweet sekali siih,"['sweet', 'sekali', 'siih']",sweet siih,sweet siih,1
asal tujuannya yg bener aja sih😁,bukan ujaran kebencian,asal tujuannya yang benar saja sih,"['asal', 'tujuannya', 'yang', 'benar', 'saja', 'sih']",tujuannya sih,tuju sih,1
"😍 mba erina kek lagi hamil ya?? auranya cantik banget,,, semoga bener deh,,, biar tambah terus kebahagiaan nya😍🥰 sehat2 ya mba @erinagudono ,,, semoga kl beneran hamil besuk debaynya pinter dan baik seperti ibu dan bpk nya aamiin 😍😍💚💚",bukan ujaran kebencian,kakak erina seperti lagi hamil ya auranya cantik banget semoga benar deh biar tambah terus kebahagiaan nya sehat sehat ya kakak semoga kalau benaran hamil besuk adik bayinya pintar dan baik seperti ibu dan bapak nya amin,"['kakak', 'erina', 'seperti', 'lagi', 'hamil', 'ya', 'auranya', 'cantik', 'banget', 'semoga', 'benar', 'deh', 'biar', 'tambah', 'terus', 'kebahagiaan', 'nya', 'sehat', 'sehat', 'ya', 'kakak', 'semoga', 'kalau', 'benaran', 'hamil', 'besuk', 'adik', 'bayinya', 'pintar', 'dan', 'baik', 'seperti', 'ibu', 'dan', 'bapak', 'nya', 'amin']",kakak erina hamil ya auranya cantik banget semoga deh biar kebahagiaan nya sehat sehat ya kakak semoga benaran hamil besuk adik bayinya pintar nya amin,kakak erina hamil ya aura cantik banget moga deh biar bahagia nya sehat sehat ya kakak moga benar hamil besuk adik bayi pintar nya amin,1
pacaran ni yeee,bukan ujaran kebencian,pacaran ini iya,"['pacaran', 'ini', 'iya']",pacaran iya,pacar iya,1
apa cuma gua kalo mb @erinagudono mirip bgt sama @jscmila 🧐,bukan ujaran kebencian,apa hanya aku kalau mb mirip sekali sama,"['apa', 'hanya', 'aku', 'kalau', 'mb', 'mirip', 'sekali', 'sama']",mb,mb,1
capres apa walikota mas ?,bukan ujaran kebencian,calon presiden apa wali kota kakak,"['calon', 'presiden', 'apa', 'wali', 'kota', 'kakak']",calon presiden wali kota kakak,calon presiden wali kota kakak,1
wess gantengee pollll 👍👍👍,bukan ujaran kebencian,sudah gantengee pol,"['sudah', 'gantengee', 'pol']",gantengee pol,gantengee pol,1
jadi wali kota depok....,bukan ujaran kebencian,jadi wali kota depok,"['jadi', 'wali', 'kota', 'depok']",wali kota depok,wali kota depok,1
wes keramas belum mas ?,bukan ujaran kebencian,sudah keramas belum kakak,"['sudah', 'keramas', 'belum', 'kakak']",keramas kakak,keramas kakak,1
"kerenn , biar depok nggak kadrun muluan isinya. semoga ditangan @kaesangp pembangunan & kesejahteraan depok bisa merata ya 👍",bukan ujaran kebencian,keren biar depok tidak kadrun muluan isinya semoga ditangan pembangunan kesejahteraan depok bisa merata ya,"['keren', 'biar', 'depok', 'tidak', 'kadrun', 'muluan', 'isinya', 'semoga', 'ditangan', 'pembangunan', 'kesejahteraan', 'depok', 'bisa', 'merata', 'ya']",keren biar depok kadrun muluan isinya semoga ditangan pembangunan kesejahteraan depok merata ya,keren biar depok kadrun muluan isi moga tang bangun sejahtera depok rata ya,1
mimi lan mintuno ❤️❤️,bukan ujaran kebencian,mimi lan mintuno,"['mimi', 'lan', 'mintuno']",mimi lan mintuno,mimi lan mintuno,1
aamiin yaa rabb alaamiin ..love u both❤️❤️❤️❤️,bukan ujaran kebencian,amin ya rabi alaamiin love kamu both,"['amin', 'ya', 'rabi', 'alaamiin', 'love', 'kamu', 'both']",amin ya rabi alaamiin love both,amin ya rabi alaamiin love both,1
nyalonnnnn capres iki,bukan ujaran kebencian,nyalon calon presiden ini,"['nyalon', 'calon', 'presiden', 'ini']",nyalon calon presiden,nyalon calon presiden,1
pasangan serasi👏,bukan ujaran kebencian,pasangan serasi,"['pasangan', 'serasi']",pasangan serasi,pasang serasi,1
jadi depok 1 mas?😂😂,bukan ujaran kebencian,jadi depok mas,"['jadi', 'depok', 'mas']",depok mas,depok mas,1
setelah menikah jadi kelihatan bapack-bapack ya...🤭🤭🤭,bukan ujaran kebencian,setelah menikah jadi kelihatan bapack bapack ya,"['setelah', 'menikah', 'jadi', 'kelihatan', 'bapack', 'bapack', 'ya']",menikah bapack bapack ya,meni bapack bapack ya,1
"kta nya ga mau kepoltik gmna thoo mas kaesang,  penonton kecewaaa",bukan ujaran kebencian,kita nya tidak mau kepoltik bagaimana thoo kakak kaesang penonton kecewa,"['kita', 'nya', 'tidak', 'mau', 'kepoltik', 'bagaimana', 'thoo', 'kakak', 'kaesang', 'penonton', 'kecewa']",nya kepoltik thoo kakak kaesang penonton kecewa,nya kepoltik thoo kakak kaesang tonton kecewa,1
keren❤️,bukan ujaran kebencian,keren,['keren'],keren,keren,1
saya warga depok ikut mendukung @kaesangp  semoga bisa menjadi wali kota depok🙏🙏,bukan ujaran kebencian,aku warga depok ikut mendukung semoga bisa menjadi wali kota depok,"['aku', 'warga', 'depok', 'ikut', 'mendukung', 'semoga', 'bisa', 'menjadi', 'wali', 'kota', 'depok']",warga depok mendukung semoga wali kota depok,warga depok dukung moga wali kota depok,1
depok 01 🔥🔥🔥🔥,bukan ujaran kebencian,depok,['depok'],depok,depok,1
"kumise kiy lho mas @kaesangp 😂,,,,",bukan ujaran kebencian,kumise kiy kamu kakak,"['kumise', 'kiy', 'kamu', 'kakak']",kumise kiy kakak,kumise kiy kakak,1
depok one,bukan ujaran kebencian,depok satu,"['depok', 'satu']",depok,depok,1
mending ndek  solo ae ojo ndek depok,bukan ujaran kebencian,mending dik solo saja ojek daring dik depok,"['mending', 'dik', 'solo', 'saja', 'ojek', 'daring', 'dik', 'depok']",mending dik solo ojek daring dik depok,mending dik solo ojek daring dik depok,1
so sweet... ❤️❤️,bukan ujaran kebencian,sok sweet,"['sok', 'sweet']",sok sweet,sok sweet,1
terbaik 😍😍😍😍😍😍😍,bukan ujaran kebencian,terbaik,['terbaik'],terbaik,baik,1
tumben mas caption-nya radak bener 😂,bukan ujaran kebencian,tumben kakak caption nya radak benar,"['tumben', 'kakak', 'caption', 'nya', 'radak', 'benar']",tumben kakak caption nya radak,tumben kakak caption nya radak,1
assalamualaikum warahmatullahi wabaraktuh selamat pagi mas dan embak erina gudono,bukan ujaran kebencian,a alamualaikum warahmatullahi wabaraktuh selamat pagi kakak dan embak erina gudono,"['a', 'alamualaikum', 'warahmatullahi', 'wabaraktuh', 'selamat', 'pagi', 'kakak', 'dan', 'embak', 'erina', 'gudono']",a alamualaikum warahmatullahi wabaraktuh selamat pagi kakak embak erina gudono,a alamualaikum warahmatullahi wabaraktuh selamat pagi kakak embak erina gudono,1
"mas kaesang katanya kalo ke politik cuan nya kecil , masih gede jualan pisang cuannya kok sekarang mau ke politik mas kaesang 🫢",bukan ujaran kebencian,kakak kaesang katanya kalau ke politik cuan nya kecil masih gede jualan pisang cuannya kok sekarang mau ke politik kakak kaesang,"['kakak', 'kaesang', 'katanya', 'kalau', 'ke', 'politik', 'cuan', 'nya', 'kecil', 'masih', 'gede', 'jualan', 'pisang', 'cuannya', 'kok', 'sekarang', 'mau', 'ke', 'politik', 'kakak', 'kaesang']",kakak kaesang politik cuan nya gede jualan pisang cuannya politik kakak kaesang,kakak kaesang politik cuan nya gede jual pisang cuannya politik kakak kaesang,1
mas... lpg mas😭😭 tolong di sampaikan... 🙌,bukan ujaran kebencian,mas lpg mas tolong di sampaikan,"['mas', 'lpg', 'mas', 'tolong', 'di', 'sampaikan']",mas lpg mas tolong,mas lpg mas tolong,1
so sweet pokoknya ❤️🔥,bukan ujaran kebencian,sok sweet pokoknya,"['sok', 'sweet', 'pokoknya']",sok sweet pokoknya,sok sweet pokok,1
"mas kaesang kyk lg sedih di omelin ibunya gg boleh jajan pentol , es sari manis diluar 🤣",bukan ujaran kebencian,kakak kaesang seperti lagi sedih di omelin ibunya tidak boleh jajan pentol es sari manis di luar,"['kakak', 'kaesang', 'seperti', 'lagi', 'sedih', 'di', 'omelin', 'ibunya', 'tidak', 'boleh', 'jajan', 'pentol', 'es', 'sari', 'manis', 'di', 'luar']",kakak kaesang sedih omelin ibunya jajan pentol es sari manis,kakak kaesang sedih omelin ibu jajan pentol es sari manis,1
semoga selalu bahagia mas @kaesangp  dan mba @erinagudono ..,bukan ujaran kebencian,semoga selalu bahagia kakak dan kakak,"['semoga', 'selalu', 'bahagia', 'kakak', 'dan', 'kakak']",semoga bahagia kakak kakak,moga bahagia kakak kakak,1
slide kedua mas kaesang kek bocil lagi dinasehatin mamanya😭,bukan ujaran kebencian,slide kedua kakak kaesang seperti anak cilik lagi dinasehatin mamanya,"['slide', 'kedua', 'kakak', 'kaesang', 'seperti', 'anak', 'cilik', 'lagi', 'dinasehatin', 'mamanya']",slide kakak kaesang anak cilik dinasehatin mamanya,slide kakak kaesang anak cilik dinasehatin mama,1
sukses terus mas..,bukan ujaran kebencian,sukses terus mas,"['sukses', 'terus', 'mas']",sukses mas,sukses mas,1
jadi gubernur atau walikota samarinda aja mas biar makin maju kalimantan timur 👍,bukan ujaran kebencian,jadi gubernur atau wali kota samarinda saja kakak biar makin maju kalimantan timur,"['jadi', 'gubernur', 'atau', 'wali', 'kota', 'samarinda', 'saja', 'kakak', 'biar', 'makin', 'maju', 'kalimantan', 'timur']",gubernur wali kota samarinda kakak biar maju kalimantan timur,gubernur wali kota samarinda kakak biar maju kalimantan timur,1
wejangan demi wejangan ...,bukan ujaran kebencian,wejangan demi wejangan,"['wejangan', 'demi', 'wejangan']",wejangan wejangan,wejang wejang,1
i love brengosmu mas,bukan ujaran kebencian,i suka brengosmu kakak,"['i', 'suka', 'brengosmu', 'kakak']",i suka brengosmu kakak,i suka brengosmu kakak,1
sepertinya serius beneran ini🔥,bukan ujaran kebencian,sepertinya serius benaran ini,"['sepertinya', 'serius', 'benaran', 'ini']",serius benaran,serius benar,1
"masa iya ini mamas kaesang yg nulis, saya yakin ini pasti antek2nya klo gak pasti para sekutunya..",bukan ujaran kebencian,masa iya ini kakak kaesang yang nulis aku yakin ini pasti antek anteknya kalau tidak pasti para sekutunya,"['masa', 'iya', 'ini', 'kakak', 'kaesang', 'yang', 'nulis', 'aku', 'yakin', 'ini', 'pasti', 'antek', 'anteknya', 'kalau', 'tidak', 'pasti', 'para', 'sekutunya']",iya kakak kaesang nulis antek anteknya sekutunya,iya kakak kaesang nulis antek antek sekutu,1
mas podcast yt ojo lali di urus ben tambah gayeng,bukan ujaran kebencian,kakak podcast youtube ojek daring lali di urus ben tambah gayeng,"['kakak', 'podcast', 'youtube', 'ojek', 'daring', 'lali', 'di', 'urus', 'ben', 'tambah', 'gayeng']",kakak podcast youtube ojek daring lali urus ben gayeng,kakak podcast youtube ojek daring lali urus ben gayeng,1
ini si meniru perjuangan pak jokowi dan bu iriana😁,bukan ujaran kebencian,ini sih meniru perjuangan bapak jokowi dan ibu iriana,"['ini', 'sih', 'meniru', 'perjuangan', 'bapak', 'jokowi', 'dan', 'ibu', 'iriana']",sih meniru perjuangan jokowi iriana,sih tiru juang jokowi iriana,1
apakah efek nikah... kesomplakan di nerf 80% 😮,bukan ujaran kebencian,apakah efek nikah kesomplakan di nerf,"['apakah', 'efek', 'nikah', 'kesomplakan', 'di', 'nerf']",efek nikah kesomplakan nerf,efek nikah somplak nerf,1
masyaa allah... sukses sllu buat mas @kaesangp dan mba @erinagudono dan semoga sllu dlm lindungan allah swt 🤲,bukan ujaran kebencian,masyaa allah sukses selalu buat kakak dan kakak dan semoga selalu dalam lindungan allah subhanahu whatsapp taala,"['masyaa', 'allah', 'sukses', 'selalu', 'buat', 'kakak', 'dan', 'kakak', 'dan', 'semoga', 'selalu', 'dalam', 'lindungan', 'allah', 'subhanahu', 'whatsapp', 'taala']",masyaa allah sukses kakak kakak semoga lindungan allah subhanahu whatsapp taala,masyaa allah sukses kakak kakak moga lindung allah subhanahu whatsapp taala,1
nice couple,bukan ujaran kebencian,baik couple,"['baik', 'couple']",couple,couple,1
kerennnn setuju,bukan ujaran kebencian,keren setuju,"['keren', 'setuju']",keren setuju,keren tuju,1
mas kaesang bucin pangarep 😍👏😂,bukan ujaran kebencian,kakak kaesang budak cinta pangarep,"['kakak', 'kaesang', 'budak', 'cinta', 'pangarep']",kakak kaesang budak cinta pangarep,kakak kaesang budak cinta pangarep,1
calon ibu depok 1 .... selamat datang di kota depok,bukan ujaran kebencian,calon ibu depok selamat datang di kota depok,"['calon', 'ibu', 'depok', 'selamat', 'datang', 'di', 'kota', 'depok']",calon depok selamat kota depok,calon depok selamat kota depok,1
suatu saat ku ke depok lagi udah berubah lebih baik ya kotanya... tante2 ku tinggal disana 👍👍👍,bukan ujaran kebencian,suatu saat ku ke depok lagi sudah berubah lebih baik ya kotanya tante tante ku tinggal di sana,"['suatu', 'saat', 'ku', 'ke', 'depok', 'lagi', 'sudah', 'berubah', 'lebih', 'baik', 'ya', 'kotanya', 'tante', 'tante', 'ku', 'tinggal', 'di', 'sana']",ku depok berubah ya kotanya tante tante ku tinggal,ku depok ubah ya kota tante tante ku tinggal,1
"mas, bener depok? aku kira guyon loh 🤣",bukan ujaran kebencian,mas benar depok aku kira guyon lah,"['mas', 'benar', 'depok', 'aku', 'kira', 'guyon', 'lah']",mas depok guyon,mas depok guyon,1
nahhhh cakeppp..restu dr istri itu juga penting... mashaallah tabarakallah...,bukan ujaran kebencian,nah cakep restu dari istri itu juga penting masyaallah tabarakallah,"['nah', 'cakep', 'restu', 'dari', 'istri', 'itu', 'juga', 'penting', 'masyaallah', 'tabarakallah']",cakep restu istri masyaallah tabarakallah,cakep restu istri masyaallah tabarakallah,1
"@kaesangp tolong pas ketik puisi pas udh punya anak 2,  tgl 20an ke atas, pas token listrik bunyi, susu n popok anak habis 😂",bukan ujaran kebencian,tolong pas ketik puisi pas sudah punya anak tanggal an ke atas pas token listrik bunyi susu dan popok anak habis,"['tolong', 'pas', 'ketik', 'puisi', 'pas', 'sudah', 'punya', 'anak', 'tanggal', 'an', 'ke', 'atas', 'pas', 'token', 'listrik', 'bunyi', 'susu', 'dan', 'popok', 'anak', 'habis']",tolong pas ketik puisi pas anak tanggal an pas token listrik bunyi susu popok anak habis,tolong pas ketik puisi pas anak tanggal an pas token listrik bunyi susu popok anak habis,1
sudah siapkah mba erina ketika mas kaesang untuk mengabdikan dirinya untuk negara ini?,bukan ujaran kebencian,sudah siapkah kakak erina ketika kakak kaesang untuk mengabdikan dirinya untuk negara ini,"['sudah', 'siapkah', 'kakak', 'erina', 'ketika', 'kakak', 'kaesang', 'untuk', 'mengabdikan', 'dirinya', 'untuk', 'negara', 'ini']",siapkah kakak erina kakak kaesang mengabdikan negara,siap kakak erina kakak kaesang abdi negara,1
definisi istri cerdas ki mas,bukan ujaran kebencian,definisi istri cerdas ki kakak,"['definisi', 'istri', 'cerdas', 'ki', 'kakak']",definisi istri cerdas ki kakak,definisi istri cerdas ki kakak,1
"wes ngrasakne anak wayahe bayar spp,beras entek, gas entek, token muni barengan durung mas @kaesangp mba @erinagudono??? 🤣🤣🤣",bukan ujaran kebencian,sudah ngrasakne anak waktunya bayar spp beras entek gas entek token muni barengan belum kakak kakak,"['sudah', 'ngrasakne', 'anak', 'waktunya', 'bayar', 'spp', 'beras', 'entek', 'gas', 'entek', 'token', 'muni', 'barengan', 'belum', 'kakak', 'kakak']",ngrasakne anak bayar spp beras entek gas entek token muni barengan kakak kakak,ngrasakne anak bayar spp beras entek gas entek token muni bareng kakak kakak,1
